source,interaction,target,cor,cor_sign
VIT_00s0228g00060,---,VIT_15s0048g01240,0.532889308890191,+
VIT_00s0228g00060,---,VIT_15s0048g01250,0.506188938116608,+
VIT_02s0025g04650,---,VIT_12s0142g00360,-0.634137843440903,-
VIT_02s0025g04650,---,VIT_15s0024g01860,0.544965861412237,+
VIT_02s0025g04650,---,VIT_18s0001g11800,0.518325660850623,+
VIT_03s0167g00070,---,VIT_12s0142g00360,-0.653582096770422,-
VIT_12s0142g00360,---,VIT_18s0001g11800,-0.599373895495904,-
VIT_02s0025g04650,-->,VIT_16s0022g02400,0.598695215703599,+
VIT_03s0017g00450,-->,VIT_15s0048g01240,0.466009173239599,+
VIT_03s0167g00070,-->,VIT_02s0025g04650,0.622205261017505,+
VIT_03s0167g00070,-->,VIT_15s0024g01860,0.606984537323376,+
VIT_12s0142g00360,-->,VIT_15s0024g01860,-0.600629506497287,-
VIT_12s0142g00360,-->,VIT_16s0022g02400,-0.697588862071758,-
VIT_15s0024g01860,-->,VIT_03s0017g00450,0.475287684520238,+
VIT_15s0048g01240,-->,VIT_03s0167g00070,0.705512041885257,+
VIT_15s0048g01240,-->,VIT_12s0142g00360,-0.720638444995452,-
VIT_15s0048g01240,-->,VIT_18s0001g11800,0.622752356423036,+
VIT_15s0048g01250,-->,VIT_03s0167g00070,0.696183566903187,+
VIT_15s0048g01250,-->,VIT_15s0048g01240,0.874162851766123,+
VIT_16s0022g02400,-->,VIT_15s0048g01250,0.805444948101687,+
VIT_18s0001g11800,-->,VIT_15s0024g01860,0.522176258351461,+
